Id Przystanku;Kierunek;Czas potrzebny na dojazd;Wspolrzedna x;Wspolrzedna y;Numer przystanku;Numer linii
3712;undefined;2;22.572277780000;51.229572220000;10;152;
3413;undefined;3;22.568042278290;51.234702929800;11;152;
3453;undefined;2;22.561572790146;51.232009067676;12;152;
4693;undefined;1;22.564335465431;51.231095402811;13;152;
3421;undefined;1;22.566947220000;51.231536110000;14;152;
4692;undefined;2;22.563643455506;51.231088684619;15;152;
3454;undefined;1;22.561229467392;51.232580099004;16;152;
5192;undefined;1;22.554910182953;51.237940729918;17;152;
5111;undefined;3;22.546800000000;51.236138890000;18;152;
5471;undefined;1;22.542014122010;51.234810412298;19;152;
5401;undefined;1;22.535858330000;51.235858330000;20;152;
5411;undefined;3;22.529011110000;51.236980560000;21;152;
5321;undefined;1;22.529011110000;51.234736110000;22;152;
5331;undefined;1;22.527327780000;51.230975000000;23;152;
5341;undefined;1;22.524802780000;51.228169440000;24;152;
5611;undefined;2;22.519752780000;51.227608330000;25;152;
5541;undefined;2;22.512063890000;51.227888890000;26;152;
5551;undefined;1;22.503927780000;51.225083330000;27;152;
5851;undefined;1;22.501983000000;51.224224000000;28;152;
5753;undefined;1;22.489786110000;51.233894440000;2;153;
5662;undefined;2;22.497922220000;51.233333330000;3;153;
5652;undefined;1;22.505891670000;51.232377780000;4;153;
5522;undefined;2;22.511783330000;51.234455560000;5;153;
5512;undefined;2;22.515150000000;51.239505560000;6;153;
5502;undefined;2;22.521436110000;51.243433330000;7;153;
5212;undefined;2;22.531536110000;51.244275000000;8;153;
5304;undefined;3;22.540066670000;51.242591670000;9;153;
5202;undefined;1;22.547641670000;51.240347220000;10;153;
5102;undefined;2;22.553366670000;51.240066670000;11;153;
3401;undefined;3;22.558416670000;51.239786110000;12;153;
3091;undefined;2;22.569191670000;51.237822220000;13;153;
3101;undefined;2;22.572558330000;51.237541670000;14;153;
3113;undefined;2;22.577327780000;51.235858330000;15;153;
3121;undefined;1;22.585577780000;51.233219440000;16;153;
3131;undefined;3;22.594555560000;51.229852780000;17;153;
3141;undefined;1;22.602244440000;51.227047220000;18;153;
3151;undefined;1;22.609538890000;51.224522220000;19;153;
3263;undefined;1;22.614350000000;51.223697000000;20;153;
2943;undefined;1;22.620328000000;51.228772000000;21;153;
2824;undefined;19;22.621544000000;51.229807000000;1;153;
2821;undefined;2;22.621681000000;51.230350000000;2;153;
2944;undefined;1;22.618278000000;51.227519000000;3;153;
3152;undefined;3;22.609819440000;51.224802780000;4;153;
3142;undefined;1;22.602525000000;51.227327780000;5;153;
3132;undefined;2;22.593433330000;51.230694440000;6;153;
3122;undefined;2;22.586980560000;51.232938890000;7;153;
3114;undefined;2;22.575644440000;51.236980560000;8;153;
3104;undefined;2;22.570033330000;51.238102780000;9;153;
3402;undefined;2;22.557575000000;51.240347220000;10;153;
5103;undefined;2;22.551402780000;51.239505560000;11;153;
5201;undefined;1;22.546519440000;51.240908330000;12;153;
5303;undefined;2;22.534736110000;51.243994440000;13;153;
5211;undefined;1;22.530975000000;51.244836110000;14;153;
5501;undefined;2;22.520313890000;51.243152780000;15;153;
5441;undefined;1;22.517508330000;51.240627780000;16;153;
5511;undefined;1;22.512905560000;51.239505560000;17;153;
5521;undefined;2;22.510941670000;51.235016670000;18;153;
5651;undefined;2;22.507013890000;51.232377780000;19;153;
5661;undefined;1;22.499325000000;51.233333330000;20;153;
5751;undefined;3;22.488383330000;51.234455560000;21;153;
5761;undefined;1;22.481816670000;51.231255560000;22;153;
5753;undefined;1;22.489786110000;51.233894440000;2;154;
5662;undefined;2;22.497922220000;51.233333330000;3;154;
5652;undefined;1;22.505891670000;51.232377780000;4;154;
5522;undefined;2;22.511783330000;51.234455560000;5;154;
5512;undefined;2;22.515150000000;51.239505560000;6;154;
5443;undefined;2;22.520594440000;51.240627780000;7;154;
5431;undefined;1;22.525644440000;51.238663890000;8;154;
5412;undefined;2;22.530694440000;51.238663890000;9;154;
5312;undefined;1;22.531536110000;51.240347220000;10;154;
5304;undefined;4;22.540066670000;51.242591670000;11;154;
5202;undefined;1;22.547641670000;51.240347220000;12;154;
5191;undefined;2;22.554899454117;51.237470524127;13;154;
3453;undefined;55;22.561572790146;51.232009067676;12;154;
4693;undefined;1;22.564335465431;51.231095402811;13;154;
3422;undefined;8;22.568350000000;51.231816670000;16;154;
4692;undefined;54;22.563643455506;51.231088684619;15;154;
3452;undefined;10;22.562463283539;51.232338251307;18;154;
3703;undefined;3;22.571997220000;51.234455560000;19;154;
3114;undefined;2;22.575644440000;51.236980560000;20;154;
2222;undefined;2;22.573400000000;51.243433330000;21;154;
2212;undefined;1;22.574522220000;51.247361110000;22;154;
1931;undefined;3;22.575363890000;51.255611110000;23;154;
1823;undefined;2;22.570875000000;51.258697220000;24;154;
1711;undefined;1;22.567508330000;51.259258330000;25;154;
1722;undefined;15;22.565711110000;51.260100000000;1;154;
1712;undefined;1;22.568630560000;51.258697220000;2;154;
1824;undefined;2;22.572559118271;51.258289317416;3;154;
1932;undefined;1;22.575083330000;51.255330560000;4;154;
2201;undefined;3;22.574241670000;51.249886110000;5;154;
2211;undefined;1;22.573119440000;51.245958330000;6;154;
2221;undefined;1;22.572558330000;51.241750000000;7;154;
3101;undefined;2;22.572558330000;51.237541670000;8;154;
3112;undefined;2;22.575925000000;51.236138890000;9;154;
3702;undefined;1;22.571997220000;51.234455560000;10;154;
3413;undefined;3;22.568042278290;51.234702929800;11;154;
3453;undefined;1;22.561572790146;51.232009067676;12;154;
4693;undefined;1;22.564335465431;51.231095402811;13;154;
3421;undefined;2;22.566947220000;51.231536110000;14;154;
4692;undefined;0;22.563643455506;51.231088684619;15;154;
3454;undefined;3;22.561229467392;51.232580099004;16;154;
5192;undefined;1;22.554910182953;51.237940729918;17;154;
5103;undefined;2;22.551402780000;51.239505560000;18;154;
5201;undefined;1;22.546519440000;51.240908330000;19;154;
5301;undefined;3;22.535297220000;51.243152780000;20;154;
5311;undefined;1;22.530975000000;51.240627780000;21;154;
5416;undefined;2;22.528450000000;51.238383330000;22;154;
5432;undefined;1;22.524522220000;51.239505560000;23;154;
5441;undefined;3;22.517508330000;51.240627780000;24;154;
5511;undefined;1;22.512905560000;51.239505560000;25;154;
5521;undefined;2;22.510941670000;51.235016670000;26;154;
5651;undefined;2;22.507013890000;51.232377780000;27;154;
5661;undefined;1;22.499325000000;51.233333330000;28;154;
5751;undefined;3;22.488383330000;51.234455560000;29;154;
5761;undefined;1;22.481816670000;51.231255560000;30;154;
5416;undefined;3;22.528450000000;51.238383330000;2;155;
5432;undefined;1;22.524522220000;51.239505560000;3;155;
5444;undefined;2;22.517519000000;51.241992000000;4;155;
5712;undefined;2;22.515711110000;51.246238890000;5;155;
5702;undefined;2;22.520875000000;51.248763890000;6;155;
5932;undefined;2;22.526766670000;51.250841670000;7;155;
5922;undefined;1;22.532658330000;51.250000000000;8;155;
5912;undefined;1;22.536980560000;51.249605560000;9;155;
5902;undefined;2;22.542591670000;51.248763890000;10;155;
1001;undefined;2;22.551402780000;51.247361110000;11;155;
1071;undefined;2;22.552244440000;51.243994440000;12;155;
3401;undefined;2;22.558416670000;51.239786110000;13;155;
3411;undefined;1;22.565991670000;51.235858330000;14;155;
3703;undefined;3;22.571997220000;51.234455560000;15;155;
3111;undefined;2;22.577888890000;51.236980560000;16;155;
2601;undefined;1;22.585577780000;51.240347220000;17;155;
2611;undefined;1;22.588663890000;51.242030560000;18;155;
2631;undefined;2;22.597361110000;51.242591670000;19;155;
2641;undefined;1;22.600561110000;51.245397220000;20;155;
2532;undefined;11;22.609819440000;51.247641670000;1;155;
2642;undefined;3;22.600841670000;51.245958330000;2;155;
2632;undefined;1;22.597080560000;51.242872220000;3;155;
2612;undefined;2;22.590627780000;51.242872220000;4;155;
2602;undefined;1;22.584736110000;51.240347220000;5;155;
2652;undefined;1;22.581775188446;51.238914712340;6;155;
3112;undefined;41;22.575925000000;51.236138890000;7;155;
3702;undefined;1;22.571997220000;51.234455560000;8;155;
3412;undefined;3;22.567788890000;51.235297220000;9;155;
3402;undefined;2;22.557575000000;51.240347220000;10;155;
1072;undefined;2;22.552805560000;51.243994440000;11;155;
1003;undefined;2;22.550553000000;51.247697000000;12;155;
5903;undefined;2;22.541188890000;51.249044440000;13;155;
5911;undefined;2;22.535297220000;51.250000000000;14;155;
5921;undefined;1;22.531255560000;51.250561110000;15;155;
5933;undefined;2;22.523961110000;51.250280560000;16;155;
5701;undefined;2;22.518911110000;51.248202780000;17;155;
5711;undefined;2;22.515150000000;51.245677780000;18;155;
5451;undefined;1;22.516552780000;51.242311110000;19;155;
5443;undefined;2;22.520594440000;51.240627780000;20;155;
5431;undefined;1;22.525644440000;51.238663890000;21;155;
1712;undefined;1;22.568630560000;51.258697220000;2;156;
1822;undefined;2;22.571716670000;51.258136110000;3;156;
1812;undefined;1;22.569472220000;51.254488890000;4;156;
1802;undefined;1;22.568630560000;51.252805560000;5;156;
1034;undefined;2;22.566947220000;51.246519440000;6;156;
2231;undefined;2;22.568630560000;51.242030560000;7;156;
3101;undefined;3;22.572558330000;51.237541670000;8;156;
3113;undefined;2;22.577327780000;51.235858330000;9;156;
3121;undefined;1;22.585577780000;51.233219440000;10;156;
3131;undefined;3;22.594555560000;51.229852780000;11;156;
3141;undefined;1;22.602244440000;51.227047220000;12;156;
3151;undefined;1;22.609538890000;51.224522220000;13;156;
3261;undefined;1;22.614495000000;51.222959000000;14;156;
3271;undefined;1;22.621459000000;51.220311000000;15;156;
3281;undefined;2;22.626019000000;51.218927000000;16;156;
3182;undefined;31;22.629572220000;51.221155560000;1;156;
3282;undefined;1;22.625504000000;51.219021000000;2;156;
3272;undefined;1;22.621298000000;51.220580000000;3;156;
3152;undefined;21;22.609819440000;51.224802780000;4;156;
3142;undefined;1;22.602525000000;51.227327780000;5;156;
3132;undefined;2;22.593433330000;51.230694440000;6;156;
3122;undefined;2;22.586980560000;51.232938890000;7;156;
3114;undefined;2;22.575644440000;51.236980560000;8;156;
2232;undefined;3;22.569191670000;51.241469440000;9;156;
1031;undefined;2;22.565991670000;51.248202780000;10;156;
1801;undefined;2;22.568350000000;51.252244440000;11;156;
1811;undefined;1;22.570313890000;51.255330560000;12;156;
1823;undefined;2;22.570875000000;51.258697220000;13;156;
1711;undefined;1;22.567508330000;51.259258330000;14;156;
5443;undefined;23;22.520594440000;51.240627780000;2;157;
5431;undefined;1;22.525644440000;51.238663890000;3;157;
5414;undefined;1;22.530975000000;51.237261110000;4;157;
5402;undefined;1;22.536419440000;51.235297220000;5;157;
5472;undefined;1;22.540748119354;51.234756671080;6;157;
5121;undefined;1;22.537822220000;51.231816670000;7;157;
5131;undefined;2;22.536980560000;51.225925000000;8;157;
4732;undefined;3;22.541188890000;51.222558330000;9;157;
4541;undefined;1;22.545677780000;51.218069440000;10;157;
4402;undefined;2;22.548483330000;51.210380560000;11;157;
4412;undefined;1;22.550000000000;51.206172220000;12;157;
4422;undefined;1;22.555611110000;51.205050000000;13;157;
4132;undefined;2;22.560941670000;51.203086110000;14;157;
4122;undefined;1;22.563747220000;51.204769440000;15;157;
4112;undefined;1;22.568069440000;51.207575000000;16;157;
4102;undefined;1;22.573680560000;51.210941670000;17;157;
3744;undefined;3;22.579852780000;51.217788890000;18;157;
3782;undefined;1;22.576834000000;51.221643000000;19;157;
3732;undefined;2;22.575745583000;51.222985832000;20;157;
3722;undefined;1;22.573400000000;51.225644440000;21;157;
3712;undefined;2;22.572277780000;51.229572220000;22;157;
3703;undefined;2;22.571997220000;51.234455560000;23;157;
3114;undefined;2;22.575644440000;51.236980560000;24;157;
2222;undefined;2;22.573400000000;51.243433330000;25;157;
2212;undefined;1;22.574522220000;51.247361110000;26;157;
1921;undefined;3;22.576766670000;51.252805560000;27;157;
2101;undefined;1;22.580975000000;51.255611110000;28;157;
2111;undefined;1;22.584304000000;51.257510000000;29;157;
2121;undefined;1;22.588944440000;51.257575000000;30;157;
2513;undefined;1;22.593713890000;51.253366670000;31;157;
2521;undefined;2;22.600841670000;51.248763890000;32;157;
2532;undefined;36;22.609819440000;51.247641670000;1;157;
2522;undefined;1;22.601963890000;51.248763890000;2;157;
2512;undefined;2;22.594275000000;51.253366670000;3;157;
2122;undefined;1;22.590627780000;51.257013890000;4;157;
2112;undefined;1;22.583894440000;51.257855560000;5;157;
2102;undefined;1;22.579852780000;51.255330560000;6;157;
1922;undefined;1;22.576486110000;51.253086110000;7;157;
2201;undefined;2;22.574241670000;51.249886110000;8;157;
2211;undefined;1;22.573119440000;51.245958330000;9;157;
2221;undefined;1;22.572558330000;51.241750000000;10;157;
3101;undefined;2;22.572558330000;51.237541670000;11;157;
3112;undefined;1;22.575925000000;51.236138890000;12;157;
3701;undefined;2;22.570875000000;51.233894440000;13;157;
3691;undefined;1;22.571565830689;51.231416718144;14;157;
3721;undefined;2;22.572838890000;51.226486110000;15;157;
3731;undefined;2;22.576486110000;51.221436110000;16;157;
3741;undefined;1;22.580133330000;51.216947220000;17;157;
4101;undefined;2;22.574522220000;51.211783330000;18;157;
4111;undefined;1;22.568350000000;51.207855560000;19;157;
4121;undefined;1;22.564027780000;51.205330560000;20;157;
4133;undefined;1;22.559538890000;51.203366670000;21;157;
4411;undefined;1;22.552244440000;51.205891670000;22;157;
4401;undefined;1;22.548763890000;51.210100000000;23;157;
4542;undefined;2;22.546519440000;51.217788890000;24;157;
4731;undefined;1;22.541469440000;51.222838890000;25;157;
5132;undefined;1;22.537541670000;51.225644440000;26;157;
5122;undefined;1;22.538663890000;51.232377780000;27;157;
5471;undefined;1;22.542014122010;51.234810412298;28;157;
5401;undefined;1;22.535858330000;51.235858330000;29;157;
5416;undefined;2;22.528450000000;51.238383330000;30;157;
5432;undefined;1;22.524522220000;51.239505560000;31;157;
5442;undefined;37;22.520033330000;51.241188890000;32;157;
5416;undefined;43;22.528450000000;51.238383330000;2;158;
5432;undefined;1;22.524522220000;51.239505560000;3;158;
5444;undefined;2;22.517519000000;51.241992000000;4;158;
5712;undefined;2;22.515711110000;51.246238890000;5;158;
5702;undefined;2;22.520875000000;51.248763890000;6;158;
5932;undefined;2;22.526766670000;51.250841670000;7;158;
5922;undefined;1;22.532658330000;51.250000000000;8;158;
5912;undefined;1;22.536980560000;51.249605560000;9;158;
5902;undefined;2;22.542591670000;51.248763890000;10;158;
1001;undefined;2;22.551402780000;51.247361110000;11;158;
1071;undefined;2;22.552244440000;51.243994440000;12;158;
3401;undefined;2;22.558416670000;51.239786110000;13;158;
3091;undefined;2;22.569191670000;51.237822220000;14;158;
3101;undefined;2;22.572558330000;51.237541670000;15;158;
3113;undefined;2;22.577327780000;51.235858330000;16;158;
3121;undefined;1;22.585577780000;51.233219440000;17;158;
3131;undefined;3;22.594555560000;51.229852780000;18;158;
3141;undefined;1;22.602244440000;51.227047220000;19;158;
3151;undefined;1;22.609538890000;51.224522220000;20;158;
3261;undefined;1;22.614495000000;51.222959000000;21;158;
3271;undefined;1;22.621459000000;51.220311000000;22;158;
3281;undefined;2;22.626019000000;51.218927000000;23;158;
3182;undefined;46;22.629572220000;51.221155560000;1;158;
3282;undefined;1;22.625504000000;51.219021000000;2;158;
3272;undefined;1;22.621298000000;51.220580000000;3;158;
3152;undefined;1;22.609819440000;51.224802780000;4;158;
3142;undefined;1;22.602525000000;51.227327780000;5;158;
3132;undefined;2;22.593433330000;51.230694440000;6;158;
3122;undefined;2;22.586980560000;51.232938890000;7;158;
3114;undefined;2;22.575644440000;51.236980560000;8;158;
3104;undefined;2;22.570033330000;51.238102780000;9;158;
3402;undefined;2;22.557575000000;51.240347220000;10;158;
1072;undefined;2;22.552805560000;51.243994440000;11;158;
1003;undefined;2;22.550553000000;51.247697000000;12;158;
5903;undefined;2;22.541188890000;51.249044440000;13;158;
5911;undefined;2;22.535297220000;51.250000000000;14;158;
5921;undefined;1;22.531255560000;51.250561110000;15;158;
5933;undefined;2;22.523961110000;51.250280560000;16;158;
5701;undefined;2;22.518911110000;51.248202780000;17;158;
5711;undefined;2;22.515150000000;51.245677780000;18;158;
5451;undefined;1;22.516552780000;51.242311110000;19;158;
5443;undefined;2;22.520594440000;51.240627780000;20;158;
5431;undefined;1;22.525644440000;51.238663890000;21;158;
5552;undefined;2;22.505330560000;51.225363890000;2;159;
5542;undefined;1;22.511222220000;51.227327780000;3;159;
5532;undefined;1;22.513466670000;51.230133330000;4;159;
5522;undefined;2;22.511783330000;51.234455560000;5;159;
5512;undefined;2;22.515150000000;51.239505560000;6;159;
5502;undefined;2;22.521436110000;51.243433330000;7;159;
5212;undefined;2;22.531536110000;51.244275000000;8;159;
5304;undefined;3;22.540066670000;51.242591670000;9;159;
5202;undefined;1;22.547641670000;51.240347220000;10;159;
5102;undefined;2;22.553366670000;51.240066670000;11;159;
1052;undefined;4;22.559538890000;51.245116670000;12;159;
1042;undefined;1;22.562905560000;51.246800000000;13;159;
2231;undefined;2;22.568630560000;51.242030560000;14;159;
3101;undefined;3;22.572558330000;51.237541670000;15;159;
3111;undefined;2;22.577888890000;51.236980560000;16;159;
2601;undefined;1;22.585577780000;51.240347220000;17;159;
2611;undefined;1;22.588663890000;51.242030560000;18;159;
2631;undefined;2;22.597361110000;51.242591670000;19;159;
2641;undefined;1;22.600561110000;51.245397220000;20;159;
2532;undefined;21;22.609819440000;51.247641670000;1;159;
2642;undefined;3;22.600841670000;51.245958330000;2;159;
2632;undefined;1;22.597080560000;51.242872220000;3;159;
2612;undefined;2;22.590627780000;51.242872220000;4;159;
2602;undefined;1;22.584736110000;51.240347220000;5;159;
2652;undefined;1;22.581775188446;51.238914712340;6;159;
3114;undefined;21;22.575644440000;51.236980560000;7;159;
2232;undefined;3;22.569191670000;51.241469440000;8;159;
1041;undefined;2;22.562905560000;51.246800000000;9;159;
1061;undefined;2;22.556733330000;51.243433330000;10;159;
5103;undefined;2;22.551402780000;51.239505560000;11;159;
5201;undefined;1;22.546519440000;51.240908330000;12;159;
5303;undefined;3;22.534736110000;51.243994440000;13;159;
5211;undefined;1;22.530975000000;51.244836110000;14;159;
5501;undefined;2;22.520313890000;51.243152780000;15;159;
5441;undefined;2;22.517508330000;51.240627780000;16;159;
5511;undefined;1;22.512905560000;51.239505560000;17;159;
5521;undefined;2;22.510941670000;51.235016670000;18;159;
5531;undefined;2;22.512905560000;51.230133330000;19;159;
5541;undefined;1;22.512063890000;51.227888890000;20;159;
5551;undefined;1;22.503927780000;51.225083330000;21;159;
5851;undefined;1;22.501983000000;51.224224000000;22;159;
1712;undefined;1;22.568630560000;51.258697220000;2;160;
1822;undefined;2;22.571716670000;51.258136110000;3;160;
1812;undefined;1;22.569472220000;51.254488890000;4;160;
1802;undefined;1;22.568630560000;51.252805560000;5;160;
1034;undefined;2;22.566947220000;51.246519440000;6;160;
2231;undefined;2;22.568630560000;51.242030560000;7;160;
3101;undefined;3;22.572558330000;51.237541670000;8;160;
3112;undefined;2;22.575925000000;51.236138890000;9;160;
3701;undefined;3;22.570875000000;51.233894440000;10;160;
3691;undefined;1;22.571565830689;51.231416718144;11;160;
3721;undefined;2;22.572838890000;51.226486110000;12;160;
3731;undefined;2;22.576486110000;51.221436110000;13;160;
3741;undefined;2;22.580133330000;51.216947220000;14;160;
4101;undefined;3;22.574522220000;51.211783330000;15;160;
4111;undefined;1;22.568350000000;51.207855560000;16;160;
4121;undefined;1;22.564027780000;51.205330560000;17;160;
4133;undefined;2;22.559538890000;51.203366670000;18;160;
4411;undefined;1;22.552244440000;51.205891670000;19;160;
4401;undefined;1;22.548763890000;51.210100000000;20;160;
4542;undefined;2;22.546519440000;51.217788890000;21;160;
4731;undefined;2;22.541469440000;51.222838890000;22;160;
5601;undefined;2;22.531816670000;51.225363890000;23;160;
5351;undefined;3;22.522838890000;51.223400000000;24;160;
5611;undefined;3;22.519752780000;51.227608330000;25;160;
5541;undefined;2;22.512063890000;51.227888890000;26;160;
5551;undefined;1;22.503927780000;51.225083330000;27;160;
5851;undefined;1;22.501983000000;51.224224000000;28;160;
5862;undefined;4;22.502026000000;51.222276000000;1;160;
5552;undefined;2;22.505330560000;51.225363890000;2;160;
5542;undefined;1;22.511222220000;51.227327780000;3;160;
5612;undefined;1;22.519191670000;51.227327780000;4;160;
5352;undefined;2;22.523119440000;51.223119440000;5;160;
5602;undefined;3;22.530133330000;51.225363890000;6;160;
4732;undefined;2;22.541188890000;51.222558330000;7;160;
4541;undefined;1;22.545677780000;51.218069440000;8;160;
4402;undefined;2;22.548483330000;51.210380560000;9;160;
4412;undefined;1;22.550000000000;51.206172220000;10;160;
4422;undefined;1;22.555611110000;51.205050000000;11;160;
4132;undefined;2;22.560941670000;51.203086110000;12;160;
4122;undefined;1;22.563747220000;51.204769440000;13;160;
4112;undefined;1;22.568069440000;51.207575000000;14;160;
4102;undefined;1;22.573680560000;51.210941670000;15;160;
3744;undefined;3;22.579852780000;51.217788890000;16;160;
3782;undefined;1;22.576834000000;51.221643000000;17;160;
3732;undefined;2;22.575745583000;51.222985832000;18;160;
3722;undefined;1;22.573400000000;51.225644440000;19;160;
3712;undefined;2;22.572277780000;51.229572220000;20;160;
3703;undefined;2;22.571997220000;51.234455560000;21;160;
3114;undefined;2;22.575644440000;51.236980560000;22;160;
2232;undefined;3;22.569191670000;51.241469440000;23;160;
1031;undefined;2;22.565991670000;51.248202780000;24;160;
1801;undefined;2;22.568350000000;51.252244440000;25;160;
1811;undefined;1;22.570313890000;51.255330560000;26;160;
1823;undefined;2;22.570875000000;51.258697220000;27;160;
1711;undefined;1;22.567508330000;51.259258330000;28;160;
3282;undefined;1;22.625504000000;51.219021000000;2;161;
3272;undefined;1;22.621298000000;51.220580000000;3;161;
3152;undefined;38;22.609819440000;51.224802780000;4;161;
3142;undefined;1;22.602525000000;51.227327780000;5;161;
3132;undefined;2;22.593433330000;51.230694440000;6;161;
3122;undefined;2;22.586980560000;51.232938890000;7;161;
3112;undefined;3;22.575925000000;51.236138890000;8;161;
3702;undefined;1;22.571997220000;51.234455560000;9;161;
3413;undefined;3;22.568042278290;51.234702929800;10;161;
3453;undefined;2;22.561572790146;51.232009067676;11;161;
4693;undefined;49;22.564335465431;51.231095402811;18;161;
3421;undefined;13;22.566947220000;51.231536110000;13;161;
4701;undefined;2;22.561502780000;51.229852780000;14;161;
4711;undefined;1;22.555050000000;51.227327780000;15;161;
4721;undefined;1;22.548202780000;51.224522220000;16;161;
4731;undefined;1;22.541469440000;51.222838890000;17;161;
5132;undefined;2;22.537541670000;51.225644440000;18;161;
5122;undefined;2;22.538663890000;51.232377780000;19;161;
5471;undefined;1;22.542014122010;51.234810412298;20;161;
5401;undefined;1;22.535858330000;51.235858330000;21;161;
5416;undefined;2;22.528450000000;51.238383330000;22;161;
5432;undefined;1;22.524522220000;51.239505560000;23;161;
5444;undefined;2;22.517519000000;51.241992000000;24;161;
5713;undefined;2;22.514308330000;51.245958330000;25;161;
5721;undefined;2;22.505891670000;51.242311110000;26;161;
5731;undefined;1;22.499325000000;51.239225000000;27;161;
5741;undefined;1;22.495397220000;51.237541670000;28;161;
